polid,politician,firstvote,dateofdeath,w_deflated,dod_father,source_father,pod_father,dod_mother,source_mother,pod_mother,wealth_father,wealth_mother,wealth_misc,misc1,misc2
00001,Aalberse,1911-03-10,1948-07-05,"9707,8997",1898-05-09,https://www.openarch.nl/elo:0984ba33-c76e-1d60-fe05-298f622f9de2,Leiden,1912-07-30,https://www.openarch.nl/elo:b426756a-9121-8593-166e-f01bbd94ea75,Leiden,8036.35,,,,
00011,Albarda,1914-06-03,1957-04-19,NA,,,,,,,,,,,
00019,van Alphen,1893-06-23,1911-07-15,"167490,5189",1871,https://www.genealogieonline.nl/familie-schulte-einhaus/I3484.php,Hengelo,1875-03-26,https://www.genealogieonline.nl/stamboom-driessen/I73107959.php,,,,,,
00022,des Amorie van der Hoeven,1878-05-24,1897-10-13,"44575,4162",1855-06-29,http://www.biografischportaal.nl/persoon/96472507,Arnhem,1835,https://www.geni.com/people/Agatha-Stuart/6000000000296707051,Overveen,,,,https://www.geni.com/people/Jacoba-Dorothea-Jungbl%C3%BCth-Burer/6000000023487157019,Stephmother
00029,Ankerman,1911-03-10,1928-01-20,"-3145,6460",1930-08-28,https://www.genealogieonline.nl/stamboom_kok/I15717.php,Nijehaske,1871-02-05,https://www.genealogieonline.nl/stamboom-weening/I18210.php,Groningen,,,,,
00031,Arnoldts,1878-05-24,1881-12-19,"28952,2245",1868-11-21,https://www.genealogieonline.nl/genealogie-bakker/I0790.php,Sittard,1862-09-17,https://www.genealogieonline.nl/genealogie-bakker/I0791.php,Sittard,,,,,
00034,Arts,1914-06-03,1926-03-31,"109770,6612",1864-06-27,https://www.genealogieonline.nl/stamboom-remmerswaal/R199.php,Arnhem,1901-12-10,https://gw.geneanet.org/mjpgeanet?lang=nl&pz=marco+nicolaas&nz=scholten&ocz=1&p=bernar%C2%ADdina&n=coman,Breda,,5273.02,,,
00041,van Asch van Wijck,1878-05-24,1882-09-20,"118021,4319",1843-07-16,https://nl.wikipedia.org/wiki/Hubert_Matthijs_Adriaan_Jan_van_Asch_van_Wijck,Woudenberg,1827,https://nl.wikipedia.org/wiki/Hubert_Matthijs_Adriaan_Jan_van_Asch_van_Wijck,,,,,,
00049,van Baar,1878-05-24,1889-01-26,"183627,3825",1858-02-28,https://gw.geneanet.org/assel209?lang=en&n=van+baar&oc=0&p=guilielmus+arnoldus,Oirschot,1871-03-27,https://gw.geneanet.org/assel209?lang=en&pz=joannes&nz=asselberghs&p=catharina+theresia+agatha&n=van+cuijck,Oirschot,,,,,
00057,Bahlmann,1893-06-23,1898-05-13,NA,,,,,,,,,,,
